outcome_cat,outcome,cohort,analysis,term,hr,conf_low,conf_high,outcome_time_median
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.797646663,0.99329498,3.253345983,446
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,0.946276521,0.856611435,1.045327225,111.5
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,0.965263907,0.765268824,1.217525634,433
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,1.487693567,1.224023642,1.808161276,10
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,0.990318478,0.886083343,1.106815398,271
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,66.07076667,56.9459552,76.65770455,1
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,0.885734354,0.689221072,1.138278234,433
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,0.909423861,0.819700131,1.008968781,110
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,0.951462029,0.846899708,1.068934117,272
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,49.63479004,41.46816399,59.40978836,1
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.007569102,0.788734592,1.287119145,17
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.053249345,0.926899809,1.196822107,281
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.166296099,0.995854815,1.365908671,445
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.238510936,1.111888032,1.379553643,99
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,15.68073674,14.61727429,16.82155332,4
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,314.303475,296.0217703,333.7142207,0
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.225466515,1.175446882,1.27761467,106
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.163728297,1.082626139,1.250906139,428
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,137.1893379,131.3002913,143.3425184,0
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.107559781,1.056830041,1.160724756,276
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,4.184210349,3.961544601,4.419391425,5
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.219916361,1.166299598,1.275998105,107
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.115403586,1.060801867,1.172815889,275
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,85.50954439,80.3301486,91.02288879,0
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,1.752665199,1.599530902,1.920460114,8
Cardiovascular diseases,Angina,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.159664223,1.069609469,1.257301176,423
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0197_0365,1.067642438,0.85018,1.34073324,271
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0000_0028,6.365682983,4.98936,8.121673116,2
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0028_0197,1.212892998,0.98233,1.497564251,127.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0365_0714,1.027092574,0.6447,1.636297881,413
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0028_0197,1.193204567,1.1031,1.290673727,112
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0000_0028,8.61517124,7.97975,9.301194498,1
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0365_0714,1.30289594,1.12393,1.510357961,419
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0197_0365,1.122143961,1.03187,1.220316639,273
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0197_0365,1.121046076,1.04382,1.203988937,273
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0365_0714,1.326985455,1.19474,1.473864626,440
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0000_0028,15.85942716,15.11839,16.63678596,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0028_0197,1.42173302,1.336,1.51296781,109
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0365_0714,1.057057059,0.9407,1.187804523,449
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0000_0028,12.97012948,12.2228,13.76315089,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0028_0197,1.42353986,1.31606,1.539792641,96.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0197_0365,1.072141452,0.97407,1.180090237,280
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0028_0197,1.126629161,0.82504,1.538464277,120
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0000_0028,15.47767926,12.42921,19.27382837,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0197_0365,0.908050522,0.63526,1.297971903,275
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0365_0714,1.190594836,0.75487,1.877820985,435
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Missing,days0365_0714,1.219235861,0.54551,2.725053442,428
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Missing,days0028_0197,1.202424922,0.77291,1.870635337,62.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Missing,days0197_0365,1.009014721,0.61597,1.652854982,271.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Missing,days0000_0028,19.63108685,14.9984,25.69471743,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0197_0365,0.798859273,0.41236,1.547617573,228
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0028_0197,1.963249841,1.29035,2.987061234,133
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0365_0714,2.02177775,1.00031,4.086336256,412
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0000_0028,16.88188056,11.9062,23.93692329,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0000_0028,12.85234905,9.58257,17.23784208,1
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0028_0197,1.442310625,1.00715,2.065492474,108
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0197_0365,0.900955098,0.57119,1.421094644,287
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0365_0714,1.015075209,0.52454,1.964354669,424
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0028_0197,1.226652339,1.07698,1.397128629,112
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0197_0365,1.000053723,0.86515,1.155998396,275
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0365_0714,1.189665635,0.95401,1.483525004,415
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0000_0028,12.9281405,11.64602,14.35140795,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0197_0365,1.142519019,1.08692,1.200960414,273
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0365_0714,1.214325134,1.12778,1.307513206,442
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0000_0028,12.49547583,12.05612,12.95084815,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: White,days0028_0197,1.368567021,1.30978,1.429993571,106
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,227.9588203,210.6424192,246.698514,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.341587347,1.201584257,1.497902955,270.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,12.08889183,11.1805426,13.07103875,6
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.327767287,1.155715231,1.525432841,453
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.79022713,1.634451379,1.960849308,101
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.216614133,1.135865142,1.303103595,435
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.119095198,1.068380446,1.172217202,273.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,199.9783279,192.1238085,208.1541685,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,4.399262882,4.164657336,4.64708899,8
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.351468393,1.29744001,1.407746783,108
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0000_0028,13.66925184,13.14488,14.21454307,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0028_0197,1.387576783,1.32238,1.455990302,107
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0365_0714,1.225737355,1.12657,1.333634227,434
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),No prior history of outcome,days0197_0365,1.125288654,1.06541,1.188527637,273
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.187856711,1.098155111,1.284885488,429.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,193.4803583,184.8434037,202.5210841,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.084335004,1.030583658,1.140889818,274.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.278714274,1.22207117,1.337982925,108
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,2.701438476,2.501689491,2.917138004,10
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Prior history of outcome,days0365_0714,1.240776846,1.10507,1.393150311,443.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Prior history of outcome,days0000_0028,10.50453547,9.88294,11.16522862,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Prior history of outcome,days0197_0365,1.125073412,1.03251,1.225938121,274
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Prior history of outcome,days0028_0197,1.295894913,1.20209,1.397019366,111
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0365_0714,1.093252721,0.984874162,1.213557587,442.5
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0000_0028,11.23645047,10.64366628,11.86226081,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0197_0365,1.079343947,1.004465139,1.159804667,269
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Female,days0028_0197,1.340383544,1.258852133,1.427195315,108
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0365_0714,1.314997049,1.2008,1.440054165,434
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0000_0028,13.47933719,12.92146,14.06130284,0
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0197_0365,1.141993388,1.07502,1.213138211,277
Cardiovascular diseases,Arterial thrombotic events,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Sex: Male,days0028_0197,1.357301395,1.28671,1.431765855,106
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,22.61722988,20.0192638,25.55234262,10
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.293737867,0.963757666,1.736699721,466
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,310.0495117,267.021185,360.0115089,0
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,3.605894978,3.159702887,4.115091214,68
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.336752814,1.068158139,1.672887207,286
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.165027626,1.077463966,1.25970731,273
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.279450002,1.126855263,1.452708435,422
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,6.650752459,6.145308837,7.197768159,13
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.770695664,1.665076719,1.883014406,91
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,123.1908772,112.4817515,134.9195939,0
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.138674424,1.048007351,1.237185325,272
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,91.50494367,81.74233141,102.4336221,0
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,4.285169038,3.861304192,4.755562569,14
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.26756508,1.101902025,1.458134239,414
Cardiovascular diseases,Deep vein thrombosis,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.541878688,1.439112494,1.651983521,99
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0001_0028,1.074633661,1.020542926,1.131591308,15
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0028_0197,1.190988403,1.166558089,1.215930341,111
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0000_0001,6.180291973,5.550000915,6.882162626,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0365_0714,1.1982053,1.140712044,1.258596285,408
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 18-39,days0197_0365,1.159632109,1.132829599,1.187068762,272
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0197_0365,1.158880417,1.128479438,1.190100392,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0001_0028,2.09965571,2.006123758,2.197548423,10
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0365_0714,1.207135267,1.146859175,1.270579323,416
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0000_0001,24.74910261,23.1834787,26.42045606,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 40-59,days0028_0197,1.218053355,1.18866265,1.248170769,112
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0365_0714,1.11453848,1.031898284,1.203796846,428
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0001_0028,4.44743711,4.210258301,4.697977045,8
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0028_0197,1.458021675,1.402029739,1.516249877,104
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0197_0365,1.188907478,1.137169295,1.242999612,275
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 60-79,days0000_0001,110.6715715,105.112058,116.5252514,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0365_0714,0.898487846,0.801093027,1.007723675,463
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0197_0365,1.108750605,1.017558062,1.208115612,276
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0001_0028,3.179166323,2.868307114,3.523715596,9
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0028_0197,1.402057359,1.305958038,1.505228027,100.5
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Age group: 80-110,days0000_0001,128.1671152,119.1048265,137.9189233,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0000_0001,37.9137071,29.72539116,48.35762053,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0365_0714,0.887641994,0.682961099,1.153664991,417
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0197_0365,1.226415481,1.087509143,1.383064171,278
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0001_0028,1.951468751,1.571406582,2.423453184,9
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Black,days0028_0197,1.101043711,0.979868983,1.237203417,115.5
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0001_0028,1.518465703,1.164032802,1.98081883,10
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0365_0714,1.497709573,1.17390709,1.910827514,416
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0000_0001,21.96553582,15.56937302,30.98935092,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0197_0365,1.086793262,0.9456569,1.24899379,273
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Mixed,days0028_0197,1.208042026,1.068275567,1.36609465,111.5
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0365_0714,1.275502094,0.968695362,1.679481139,409.5
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0001_0028,2.454556026,1.962948344,3.06928305,8
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0197_0365,1.364567188,1.191494022,1.56278049,268
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0028_0197,1.59848611,1.423663245,1.794776677,111
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: Other,days0000_0001,35.18261259,26.33645234,47.00011272,1
Mental illnesses,Depression,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Ethnicity: South Asian,days0365_0714,1.137703906,1.019625371,1.269456621,424
